filename,artist,title,style,genre,date,idx
141.jpg,d5b068e4e6fd5c91710699585afb13f9,Untitled,Abstract Expressionism,abstract,,141
170.jpg,dd55583ce853dcbab93bb4af58f4fcfb,Tranquillity,Neoclassicism,genre painting,1914,170
948.jpg,2cd87bc71a43270dc7ce0917f6f6d980,Ali Baba in the Woods,Art Nouveau (Modern),illustration,1897,948
287.jpg,1a8d67dbb446bdc4298cc0be56932a38,Water Lilies,Impressionism,flower painting,1919,287
317.jpg,49bb8d79587c2172c6cd04dd705fd891,"April Snow, Salem",Post-Impressionism,landscape,c.1907,317
961.jpg,450fc8bc8b9924db9bd48172f6498d3b,The Lady's Last Stake ,Rococo,genre painting,c.1759,961
59.jpg,48b59a894aafec218cbda701ca69da89,Self Portrait,Naïve Art (Primitivism),self-portrait,1938.0,59
385.jpg,bc0ddf03c667c5edb17982be481ef360,Woman sitting in a chair,Expressionism,portrait,,385
139.jpg,cc47068929413a16aa707faefbdf4b70,Rigoletto,Art Deco,design,,139
429.jpg,d102cde968c819e615f13f13ade83a3c,Portrait of Adolphe Basler,Post-Impressionism,portrait,1914,429
692.jpg,d102cde968c819e615f13f13ade83a3c,not identified,Post-Impressionism,portrait,,692
578.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,Country Churchyard and Old Church Tower ,Realism,landscape,1885,578
23.jpg,c3e9d9ebe5f2900190bef9342c440bd9,"Endres Dürer, brother of the painter, in profile",Northern Renaissance,portrait,,23
649.jpg,1950e9aa6ad878bc2a330880f77ae5a1,Embrace,Post-Impressionism,genre painting,1900,649
314.jpg,74a1dad53214d04514269a188f16683a,Niesen,Symbolism,landscape,1910,314
733.jpg,d102cde968c819e615f13f13ade83a3c,Young blond boy ,Post-Impressionism,portrait,1937,733
223.jpg,40b02cfc7d44302592370bb9feddc28a,Helen Taylor Sketching,New Realism,genre painting,1916,223
164.jpg,5f766392b0bb21a9a771c4675efccd5f,Boyan,Symbolism,mythological painting,1910.0,164
790.jpg,3d0eabaa03d5997194155a847a7a2e30,Saint John the Evangelist,Byzantine,religious painting,1408,790
333.jpg,e76816a609f0c7141b93079afcf4b33e,Woman Enjoying The Shower,Expressionism,nude painting (nu),,333
947.jpg,1a8d67dbb446bdc4298cc0be56932a38,Low Tide at Varengeville,Impressionism,landscape,1882,947
138.jpg,cd56f7f46b19cff44fb6700a3808ab9c,Woman Science,Art Nouveau (Modern),allegorical painting,,138
240.jpg,3937af6d364e2f24d1cce16fe3916536,Where Euclide walked,Surrealism,cityscape,1955,240
212.jpg,040827f8fb458d1cea7d3e0b9e33132f,Jesus,Rococo,religious painting,,212
383.jpg,481c5c92d55717167e01821144a54635,"Boulevard des Italiens Morning, Sunlight",Impressionism,cityscape,1897,383
359.jpg,0eb4b764437df0fa2b50efd963bd4f83,Side of the Valley of Saint-Vincent (Auvergne),Realism,landscape,c.1830,359
400.jpg,7bd66a895ffb6653f3e2aa022cd55330,Marombra,Futurism,,1919,400
984.jpg,49bb8d79587c2172c6cd04dd705fd891,"St. Mark's, Venice",Post-Impressionism,cityscape,1898,984
696.jpg,cc47068929413a16aa707faefbdf4b70,Statue of Liberty,Art Deco,design,,696
700.jpg,5492f3de0de95c559f5d2ebcffb084a6,The Cortege ,Surrealism,genre painting,1963.0,700
631.jpg,bc0ddf03c667c5edb17982be481ef360,Cyclamen Pourpre ,Expressionism,flower painting,1912,631
787.jpg,062244b785e58518f2f189329633c59e,Provence. Pines on the shore,Art Nouveau (Modern),landscape,1929.0,787
750.jpg,cc47068929413a16aa707faefbdf4b70,The Swing,Art Deco,genre painting,,750
717.jpg,df97efdcbefba87d3aad1aaa3f413ceb,Self-Portrait,Baroque,self-portrait,,717
785.jpg,3a320926ef941d53716127548523450c,Passage of Mount Cenis,Romanticism,landscape,,785
269.jpg,10bc951c2eb4a2f05fa773bdaace4e3b,“Au Charbonnage” Café,Realism,cityscape,1878,269
46.jpg,d102cde968c819e615f13f13ade83a3c,not identified,Post-Impressionism,nude painting (nu),,46
563.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,St. Jerome who resurrected the bishop Andrea,Early Renaissance,religious painting,1473,563
512.jpg,12dfb12ee87cde6a8dd88d10fb3075f4,Checkered House,Naïve Art (Primitivism),genre painting,,512
565.jpg,aa344e9aa644e0506a60917da0f29178,Weimar Berlin,Verism,cityscape,,565
38.jpg,c8041306a183cbaf39ff8cd707c9cc7f,Askeladdens adventure,Neo-Romanticism,illustration,1910.0,38
891.jpg,bf640dd1f7dd463debb1457bfbb180ad,No. 1,Color Field Painting,abstract,1959,891
647.jpg,f3240aa1f2ba725638e2e918a3b7eab3,Moonlit Night at the Museum,Sōsaku hanga,cityscape,1932.0,647
598.jpg,d09f796f2b0aa11dffc88badd9806119,Russian squadron on the raid of Sevastopol,Romanticism,genre painting,1846,598
234.jpg,795985c5c0e7c704a354a487bdffeef5,Kochel: Waterfall I,Post-Impressionism,landscape,1900,234
31.jpg,916dbdfaa7fa74cc1172a93fe37f3fc8,Village view,Romanticism,cityscape,,31
915.jpg,9ee8bdc8cacd9654c2f565c618af10ab,Angel with the Flaming Sword,Symbolism,religious painting,1889,915
228.jpg,9d9ad9e2fbdcff68dadc266ccc6e4aed,Madonna of the Cave,Early Renaissance,religious painting,c.1489,228
36.jpg,f7e1cb7b67e7b154d9dca7d12879d7b0,"Sketch with the image of Maitreya, carved on a rock",Symbolism,sketch and study,c.1932,36
78.jpg,498a3471e49b3b93ecf21cda90b150b0,Illustration to 'The crane and heron. Bear.',Art Nouveau (Modern),illustration,1906.0,78
682.jpg,bf640dd1f7dd463debb1457bfbb180ad,Marching Figures,Abstract Expressionism,figurative,1953,682
803.jpg,c1e13f484d2579321b49e4d1e8495d30,The Crowns of the Trees,Realism,landscape,1867.0,803
444.jpg,3937af6d364e2f24d1cce16fe3916536,The empire of lights,Surrealism,landscape,1954,444
110.jpg,d8ac73f0218c738977444c6217a35211,Elisabeth Gerhard sewing,Expressionism,portrait,1909,110
791.jpg,6c348f12342a2c5e2ae8906873f5cecf,The Mice Escape,Art Nouveau (Modern),illustration,1902.0,791
353.jpg,798f3d6f62293e3eec1d80bc385ecc36,Appearance of Christ to the apostles (Fragment),Proto Renaissance,religious painting,1311,353
427.jpg,3cc9a44380296d93e68b71a27643c25f,Interior with Two Women and a Child,Romanticism,portrait,,427
451.jpg,d80845360ec772e09996eb8c7678eae6,Celebration,Abstract Expressionism,abstract,1961,451
940.jpg,bcc742e1dab75dec6fbdbe6fe50ba53b,The Last Supper,High Renaissance,religious painting,1525,940
782.jpg,fbf1ac1a72a08aada0881f372b01df23,unknown title,Art Nouveau (Modern),caricature,,782
391.jpg,1950e9aa6ad878bc2a330880f77ae5a1,Stuffed shirts,Impressionism,genre painting,1900,391
607.jpg,cd9ac80cf7799f759edf1e6a96d28ced,The Visit,Baroque,genre painting,c.1657,607
398.jpg,aa344e9aa644e0506a60917da0f29178,Warrior with a Pipe,Cubism,portrait,,398
135.jpg,3a320926ef941d53716127548523450c,"Sunrise, Whiting Fishing at Margate",Romanticism,marina,,135
5.jpg,e60882af79cababb03ddfa980a75448c,Accuse the Time,Romanticism,capriccio,1812,5
465.jpg,9bfa421135ab2d6a06156664b9479dd4,Blue night,New Realism,genre painting,1914,465
577.jpg,450fc8bc8b9924db9bd48172f6498d3b,Benefit ticket (Mr  Milward)' A Bold Stroke for a Wife,Rococo,design,,577
887.jpg,62b4406512c45730d2c7c40f5e3d0d12,"Illustration to ""A Week of Kindness""",Surrealism,illustration,1934,887
942.jpg,e88f5c22a024ef502ce9d5cad6a001a9,"Jeanne Elisabeth de Geer, Baroness Tuyll",Rococo,portrait,,942
347.jpg,4b29e458354f087f2488e665778fa25c,July 27-53 (ivory),Cubism,still life,1953,347
478.jpg,96e7b1bc8d52e18caf0af34fec2e9bcb,Gallo dying,Neoclassicism,genre painting,,478
145.jpg,a2a7e2594b657a8fa12a4e732e76c40d,And I am alone in my house ,Pop Art,interior,1973,145
863.jpg,da9ab2081b197129eeb91477d239be00,Neptun's Horses ,Neo-Romanticism,mythological painting,1893.0,863
496.jpg,0d138ffcc570102982abc5b16d398107,"Rienzi Vowing to Obtain Justice for the Death of his Young Brother, Slain in a Skirmish between the Colonna and Orsini Factions",Romanticism,illustration,1848,496
79.jpg,f5aa2fd3418ac536047bb1f828fe0093,Rain at Shuzenji Spa,Shin-hanga,cityscape,1933.0,79
241.jpg,8a1a67964c0cbea29fc9801b5c42c553,Marsh. Polissia,Realism,landscape,1890.0,241
827.jpg,cd56f7f46b19cff44fb6700a3808ab9c,Abricotine,Art Nouveau (Modern),advertisement,,827
418.jpg,aa344e9aa644e0506a60917da0f29178,Dying Warrior,Expressionism,battle painting,,418
858.jpg,5b6a7be5ffc6a27b91bd3210ffa2e088,Still Life with Chip Frier,Expressionism,still life,1954.0,858
256.jpg,da4d446557e592e23a711b925f436897,"Correspondence Red-White, side B",Hard Edge Painting,abstract,1966.0,256
917.jpg,cd9ac80cf7799f759edf1e6a96d28ced,Interior ,Baroque,interior,,917
673.jpg,b874a616affcb766bb0e7a4f2a0803f0,Girls with good luck charms,Art Nouveau (Modern),genre painting,,673
213.jpg,c4d35a700a68e98b290fcef86011c577,Message from a Desert Star,Abstract Expressionism,abstract,1972,213
995.jpg,31dbc08b8d0a3196c5484c0c068b2bcc,End of the season Sun,Impressionism,genre painting,1884,995
708.jpg,3e2b8c5bdf1cb9b4e7156d98e93ab5f1,"The Appointment of the four forms, from the portfolio Life Forms",Cubism,abstract,1963,708
344.jpg,d8ed2d6f032da7c79eb05c5502005520,"Enthroned Madonna, Saint Jerome, and St. Sebastian",Early Renaissance,religious painting,1490,344
341.jpg,c2fdb35ca0c0b8f93909e8fcc2ea30d8,Daikoku and Mouse,Ukiyo-e,animal painting,1880.0,341
561.jpg,dc589f213ba7bd398714ac2796b7c0ab,The Four Evangelists,Baroque,religious painting,c.1614,561
902.jpg,1c5808517b3b9560b277eaae7adfabfc,Buying apples from a peddler. Study,Romanticism,sketch and study,c.1830,902
350.jpg,dc6024d744b7f7e162e660b26aa5b7da,Portrait Relief PR3 (Portrait of Claude Pascal) ,Nouveau Réalisme,portrait,1962,350
88.jpg,a71d161299fa84782a407049c988830e,Flowers with Roots,,,,88
426.jpg,397c63db1c7b507d23abff3f8bb0fa18,The flute player,Baroque,genre painting,1642,426
644.jpg,2cd87bc71a43270dc7ce0917f6f6d980,Vol .III,Art Nouveau (Modern),design,1894,644
880.jpg,c31b03be3da5810b44ea4782d2f3b8a0,A Swirl of Fog,Magic Realism,landscape,1976.0,880
796.jpg,c56bcab4b317984013ebef5d3c4b5906,Snow Scene,Impressionism,landscape,,796
618.jpg,50591a7061fb340d875723f38e00cc3b,"Horse Drawn Cabs at Evening, New York",Impressionism,cityscape,,618
822.jpg,3937af6d364e2f24d1cce16fe3916536,The voice of space,Surrealism,symbolic painting,1928,822
878.jpg,3cc9a44380296d93e68b71a27643c25f,Leda and the Swan ,Post-Impressionism,mythological painting,c.1882,878
445.jpg,3edc6a404b8c67b7dad1405d52228c96,House of Marie Louise in Labastide,Pointillism,landscape,1920,445
697.jpg,db1318d32df7428076e03513ebf762bb,Portrait of Yseult Fayet,Symbolism,portrait,1908,697
749.jpg,1784ca34f1a06ba6eac22a83a5b0244d,Autumn,Post-Impressionism,landscape,1909,749
866.jpg,875a7966e0e23051569c31128726c349,The Parents,Expressionism,portrait,1919.0,866
276.jpg,95170250b9a5101b11db6d60acfc9f86,Blue Morning Glory,Precisionism,flower painting,,276
396.jpg,481c5c92d55717167e01821144a54635,The Port of Le Havre 2,Impressionism,cityscape,1903,396
818.jpg,57bbc1b439f3913ea7f467ac5ccaac31,Washington at the Delaware ,Naïve Art (Primitivism),history painting,1849,818
422.jpg,e8eae9a2f53456f01d601ae153f76a2d,Iseppo and Adriano da Porto,Mannerism (Late Renaissance),religious painting,1552,422
52.jpg,ee1fc5cb64efc639c3c00ccf3af614c4,Madonna of Loreta (Annunciation),High Renaissance,religious painting,1507,52
375.jpg,e6226dc01b031150735d57038888e62e,Young Portuguese,Safavid Period,miniature,1634.0,375
327.jpg,d77452b0e817e7cb88e30c4a5f5ca9ba,Cactus in Bloom,Impressionism,landscape,1915.0,327
528.jpg,861c29e13205420326f7443ea77de5c9,"A Street, Comrie ",Post-Impressionism,cityscape,1900.0,528
461.jpg,d8ac73f0218c738977444c6217a35211,Reading man in park,Expressionism,genre painting,1914,461
84.jpg,479807bac5f3f944e7209e5d99e0dc48,"Point Lobos, Oak Tree",Impressionism,landscape,1918,84
719.jpg,c31b03be3da5810b44ea4782d2f3b8a0,"Mauve, Red and Purple",Magic Realism,landscape,1987.0,719
86.jpg,cc47068929413a16aa707faefbdf4b70,The Kiss,Art Deco,symbolic painting,,86
714.jpg,c16781c4321948227193214b68477a5c,Sir Edmund Gosse,Realism,portrait,c.1886,714
554.jpg,760e4eabd639621a3f81dabd57261139,Olive Maxse,Romanticism,sketch and study,,554
179.jpg,8cdd41002b7b5c5d112865054a7fe13e,Street at Stadtpark,Expressionism,cityscape,,179
494.jpg,481c5c92d55717167e01821144a54635,Study for the apple picker,Impressionism,sketch and study,,494
706.jpg,6e48a922afad04d0dd1c26b9f9bbd051,Taro Men,Expressionism,symbolic painting,1960.0,706
67.jpg,31dbc08b8d0a3196c5484c0c068b2bcc,An Italian Garden,Impressionism,landscape,1909,67
520.jpg,9a0942ceb98aa3146d8991d284c758ab,Prayer manual,Ottoman Period,calligraphy,1669.0,520
585.jpg,2c619a6f61c12b8295ded4d733e8d97e,"Schooley's Mountain, New Jersey ",Romanticism,landscape,1879.0,585
379.jpg,49bb8d79587c2172c6cd04dd705fd891,Figures on the Beach,Naïve Art (Primitivism),nude painting (nu),c.1918,379
549.jpg,a7b6670e2d23f415998849a8fdedae18,The Fall of Man,Mannerism (Late Renaissance),religious painting,1578,549
659.jpg,31dbc08b8d0a3196c5484c0c068b2bcc,Prospect Park,Impressionism,landscape,1886,659
101.jpg,8ddea81c0d67aeb2b410302f77ad9dbb,Portrait of Lise Carrière ,Symbolism,portrait,1906.0,101
431.jpg,ccb8b07e7e3d837b2cd08d3edaf009cd,In Without Knocking ,Romanticism,genre painting,1909.0,431
233.jpg,9c33ab681802c2be485f30761c2fc923,Scouts at Sevastopol ,Realism,battle painting,1874,233
668.jpg,62b4406512c45730d2c7c40f5e3d0d12,The Young Chimaera,Dada,symbolic painting,1920,668
299.jpg,821cc8348e92c1dd6e2308b4d578fa25,The Mexican Musicians,Naïve Art (Primitivism),genre painting,c.1951,299
57.jpg,91373404ff71f68865c7cd9c51bc62ef,Pirámide del Sol ,Realism,landscape,1878.0,57
977.jpg,b15d8d493527dccb0b3e02b1ef65258d,Hope,Northern Renaissance,allegorical painting,,977
222.jpg,45f4183820ce1fa775f8a27d3120aad6,The Sunset on Volga. Nizhny Novgorod,Impressionism,landscape,1911,222
248.jpg,b864293dc3601617049eb94d1236a7e0,Klosterneuburg Altar,Mosan art,religious painting,1181,248
716.jpg,11a3a604361b93a2f3c2c34b5a82a668,Delaware Bay ,Romanticism,marina,1875.0,716
345.jpg,897c5e2d98eb1a333d1a0b04445883fc,Tales of Mystery and Imagination by Edgar Allan Poe,Art Nouveau (Modern),illustration,1923,345
847.jpg,dc589f213ba7bd398714ac2796b7c0ab,Landscape with Stone Carriers,Baroque,landscape,c.1620,847
437.jpg,9357ef569a10c52a2ca5d95823cb2f8e,Triptych with the Nativity,Northern Renaissance,religious painting,1515,437
792.jpg,3edc6a404b8c67b7dad1405d52228c96,View of the Labastide du Vert below to Marquayrol,Impressionism,landscape,,792
832.jpg,7aed4909f6766c98947acdab620b6db5,The Temptation of St. Anthony,Baroque,religious painting,c.1645,832
485.jpg,fa7a0860d572a3ec6d1e563839a22d73,Shakespearean Equation: King Lear,Surrealism,figurative,1948.0,485
61.jpg,dc589f213ba7bd398714ac2796b7c0ab,Lamentation of Christ,Baroque,religious painting,1618,61
828.jpg,d77452b0e817e7cb88e30c4a5f5ca9ba,The Family at Cards (unfinished),Impressionism,genre painting,,828
90.jpg,831614e9da7ff241dc5783f098dd0107,Paysage colore aux oiseaux aquatique ,Fauvism,animal painting,1907.0,90
648.jpg,821cc8348e92c1dd6e2308b4d578fa25,Arcades at L'Estaque,Cubism,landscape,1908,648
892.jpg,acb41a9d1162f3060bad857d303f17c8,Goya's Lover,Pop Art,nude painting (nu),1977.0,892
466.jpg,1950e9aa6ad878bc2a330880f77ae5a1,Farmer's wife on a stepladder,Surrealism,genre painting,1933,466
674.jpg,b59f3b556ce036d42a93dea4c3f1ba48,Lydia Lynde,Neoclassicism,portrait,c.1764,674
621.jpg,c16781c4321948227193214b68477a5c,Two Girls Lying on the Grass,Impressionism,genre painting,1889,621
931.jpg,3edc6a404b8c67b7dad1405d52228c96,Young Women in Garden in Marquayrol,Impressionism,genre painting,,931
622.jpg,8484e5abe6badeb29c4b9af137636259,El Ordeño,Romanticism,genre painting,1892.0,622
456.jpg,739ad39c672e781a5cee3c07ecb9f646,The Coast of Brittany (aka Alone with the Tide),Realism,landscape,1861,456
786.jpg,ccb8b07e7e3d837b2cd08d3edaf009cd,Lewis and Clark Reach Shoshone Camp Led by Sacajawea the Bird Woman  ,Romanticism,genre painting,1918.0,786
280.jpg,9a85697fd693e11f87846ebc70c00227,Farmhouse with Birch Trees,Art Nouveau (Modern),landscape,1903,280
852.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Medea,Art Nouveau (Modern),poster,1898,852
113.jpg,50591a7061fb340d875723f38e00cc3b,Church at Old Lyme,Impressionism,cityscape,1906,113
776.jpg,c8b8309d0adf15bd814701ee47de640c,"Kirkstall Abbey, Yorkshire",Romanticism,landscape,1801.0,776
954.jpg,b6095eab35b7f0abfbe5687ed8329293,Francisco Bandres de Abarca,Baroque,portrait,c.1646,954
47.jpg,bf8a76a110805df312d2df21fa84e7cd,Meninos e piões,Expressionism,portrait,1947.0,47
315.jpg,b844978933b7ae43e32ce775494821eb,Untitled,Surrealism,symbolic painting,,315
518.jpg,dcb1d130c7640aefc60890d0e90d472d,The river valley in Bulgaria,Realism,landscape,1883,518
701.jpg,c7410238d399d9f454123e59b059fdd2,The Checkerboard,Synthetic Cubism,still life,1915,701
310.jpg,e60882af79cababb03ddfa980a75448c,St. Gregory the Great,Romanticism,portrait,1797,310
875.jpg,7a5b41c727b25762d24cee788163a1d7,Establishment of the Manger at Greccio,Early Renaissance,religious painting,1452,875
874.jpg,562444404c306132a0a6f2e6f7a335c8,Wistaria at Ushijima,Sōsaku hanga,landscape,1953,874
292.jpg,f14a3a6cc3112c9e92bc6c33c88eb264,A Collection of Pictures at the Time of Augustus,Romanticism,genre painting,1867,292
552.jpg,c38fea973e430fde20b174f588e853d4,View of the Vaulting of the Sacristy of St. John,Early Renaissance,religious painting,1482,552
677.jpg,67c1053cde05250df99a1d173e57003a,Study of a young woman,Baroque,portrait,c.1667,677
365.jpg,c3efe083ec89d6cf6fd0eca1b1b1e880,Invention of a Dream,Surrealism,symbolic painting,1960.0,365
593.jpg,1c5808517b3b9560b277eaae7adfabfc,Portrait de l`Archimandrite Théophane,Realism,portrait,1837,593
209.jpg,c16781c4321948227193214b68477a5c,The Piazzetta and the Doge's Palace,Impressionism,cityscape,c.1907,209
436.jpg,831614e9da7ff241dc5783f098dd0107,"La Baigneuse, (Nu) ",Neoclassicism,nude painting (nu),1937.0,436
399.jpg,0aa40001869bf1e86a1bdae741f79220,Ready for the Ball,Romanticism,genre painting,,399
53.jpg,e8a920f9131325defb6af918b6085945,Portrait Of Marinetti,Futurism,portrait,,53
857.jpg,5fc2ffdd3d24ab503edd9a271dc379bd,Smyrne Bornabat,Realism,landscape,1873,857
848.jpg,5aabfc58470d01bb2362795a44a2603b,Negreries Martinique,Post-Impressionism,portrait,1890,848
334.jpg,9649a0013a798a8367d2c493e37468ec,Pikes Peak,Luminism,landscape,,334
309.jpg,17d7e6e3171d68e616897f0e09745ae9,Mountains (Rocky Way Landscape),Cubism,landscape,c.1912,309
129.jpg,e194986304d381e56ca87f11adab090b,The Silk Mill ,Impressionism,cityscape,1912.0,129
394.jpg,deedbecf554a7c809e5e89c6c5b68125,Pietà of Canon Luis Desplá (detail),Gothic,religious painting,1490,394
91.jpg,db1318d32df7428076e03513ebf762bb,Vase with Flowers and Butterflies,Realism,flower painting,,91
869.jpg,9c33ab681802c2be485f30761c2fc923,Head of a Kirghiz. Sketch ,Realism,sketch and study,,869
338.jpg,ff9488f3353c524c946f38e6547af32a,Composition with lemons and poppy,Post-Impressionism,still life,1966.0,338
595.jpg,48125751a4f9a9e0bddd2f08cec9f2de,Landscape with Boats on a River,Baroque,landscape,1612.0,595
462.jpg,c5e676e275ce5a30ca64608de7890680,"Portrait of Fra Bonaventura Bisi, Called 'Il Pittorino' ",Baroque,portrait,1658.0,462
669.jpg,a6027a4ba71b61a55ea598379c9d508c,Woman in a Café,Impressionism,genre painting,c.1877,669
923.jpg,fa7a0860d572a3ec6d1e563839a22d73,Shakespearean Equation: Twelfth Night,Surrealism,figurative,1948.0,923
686.jpg,c3476c06a03ae311a7a57705b315ae88,Psyche showing her sisters her gifts from Cupid,Rococo,mythological painting,1753,686
